kode_alternatif,nama_alternatif,ket_alternatif,A01,A02,A03,A04,A05
A001,my carieer is multi carer,Lestari Nurhajati,2015,Tiga Serangkai,128,40,11
A002,my hoby bisnis may fashion,Gunawan Ardianto,2014,METAGRAF,40,38,24
A003,bisnis toko kado cantik dan unik,val Clark,2014,Tiga Kelana,19,36,12
A004,tanaman hias,iin hasim,2009,penebar swadaya,119,23,31
A005,may hoby my bisnis otomotif,gunawan adriyanto,2012,tiga serangkai,40,51,25
A006,101 strategi bisnis kuliner,Qalbinur Nawawi,2016,metagraf,44.3,31,24
A007,Bisnis internet,rahmat makmur,2018,informatika,60,35,24
A008,bisnis cleaning cervise,Robert Gordon,2010,Tiga Kelana�,55,51,24
A009,bisnis kedai dan chip,James Kayui Li,2010,tiga kelana,30,21,12
A010,Cafe Alternatif,Gunawan Ardiyanto,2014,Metagraf Tiga Serangkai,55,45,42
A011,Pemrograman Web Dinamis Menggunakan PHP dan MySql,M. Rudyanto Arief (STIMIK AMIKOM),2012,ANDI,93,15,4
A012,Aplikasi Web Database dengan Dreamweaver dan PHP-MySql,MADCOMS,2011,ANDI,52.9,15,20
A013,Adobe Dreamweaver CS5 dengan Pemrograman PHP & MySql,MADCOMS,2011,ANDI,68.1,15,8
A014,Mastering CMS Programming With PHP & MySql,Wahana Komputer,2011,ANDI,43.1,15,25
A015,Pemrograman SQL Dan Database Server MYSQL,Iman Suja,2007,ANDI,43.6,15,19
A016,"Database Processing: Dasar-dasar, Desain dan Implementasi (Jilid 1) (Edisi 9)",David M. Kroenke,2005,ERLANGGA,206.7,15,26
A017,"Database Processing: Dasar-dasar, Desain dan Implementasi (Jilid 2) (Edisi 9)",David M. Kroenke,2005,ERLANGGA,148.9,15,17
A018,Pemrograman Database Menggunakan Delphi; Delphi Win32 dan MySQL 5.0 dengan Optimalisasi Komponen Zeos DBO,Kani,2010,GRAHA ILMU,126.2,15,45
A019,Tutorial Praktis Membangun Website Interaktif Sekolah�,MT. Heru Purwanto,2007,ANDI,77.9,15,40
A020,Algoritma & Pemrograman dengan Borland C++,DIDIT N UTAMA,2005,GRAHA ILMU,58.6,15,29
A021,Pengolahan Sinyal digital dan sistem pemrosesan sinyal ,"Harlianto Tanudjaja,Ir.,M.Kom",2008,ANDI,39.2,15,49
A022,Medan Elektromagnetika terapan,Rustam Effendi,2007,ERLANGGA,102.9,15,14
A023,Intrumentasi dan kontrol proses,"RADITA ARINDYA, ST, MT",2014,GRAHA ILMU,117.4,15,38
A024,Operasi Sistem Tenaga Listrik,Djiteng Marsudi,2006,GRAHA ILMU,171.3,15,9
A025,Elektromagnetika,William  H. Hyat JR,2006,ERLANGGA,359.6,15,6
A026,Konsep dan Aplikasi Statika,E. Sutarman,2013,ANDI,48,15,34
A027,Pengetahuan Bahan Teknik,Prof. Dr. Tata Surdia MS,2013,BP,92.1,15,4
A028,Rangkaian Listrik,Cekmas Cekdin,2013,ANDI,74.4,15,47
A029,Praktik - praktik proteksi sistem tenaga listrik,Bonar Pandjaitan,2012,ANDI,88.2,15,10
A030,Pemrosesan sinyal digital,"R.H. Sianipar, I.K.Wiryajati",2012,ANDI,93.1,15,10
A031,Teknik Rancang Bangun Robot Tingkat Dasar,Andi Nalwan,2012,ANDI,42.1,15,25
A032,Teori dan Aplikasi Sistem Digital,EKO BUDI PURWANTO,2011,GRAHA ILMU,78.2,15,22
A033,Pembangkit Tenaga Listrik ,JITENG MARSUDI,2011,ERLANGGA,155.8,15,27
A034,Dasar - Dasar Sinyal dan Sistem,Hany Ferdinando,2010,ANDI,67.6,15,20
A035,Eletronika Digital + Mikroprosessor,Widodo Budiharto & Sigit Firmansyah,2005,ANDI,50.9,15,21
